epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,17.3312,1.28961,3.04121,1.52597,0.00333,1,0.32364,0.24258,0.59196,2.97817,0.65935,0.00012,4e-05,0.00012,4e-05,0.00012,4e-05,0.00012,4e-05
2,30.1997,1.05032,2.97776,1.31912,0.00333,1,0.26235,0.23298,0.52569,2.93843,0.62684,0.00029406,9.802e-05,0.00029406,9.802e-05,0.00029406,9.802e-05,0.00029406,9.802e-05
3,41.0927,0.85322,2.94178,1.15729,0.00333,1,0.22647,0.19594,0.44881,2.92023,0.59061,0.000460992,0.000153664,0.000460992,0.000153664,0.000460992,0.000153664,0.000460992,0.000153664
4,52.6901,0.7544,2.78634,1.09889,0.00333,1,0.36357,0.24601,0.38379,2.88928,0.57449,0.000620796,0.000206932,0.000620796,0.000206932,0.000620796,0.000206932,0.000620796,0.000206932
5,64.44,0.83419,2.83094,1.20359,0.00333,1,0.47648,0.43033,0.28347,2.86127,0.5525,0.000773472,0.000257824,0.000773472,0.000257824,0.000773472,0.000257824,0.000773472,0.000257824
6,75.1538,0.71941,2.84759,1.14673,0.00333,1,0.51327,0.46277,0.20407,2.85628,0.53838,0.00091902,0.00030634,0.00091902,0.00030634,0.00091902,0.00030634,0.00091902,0.00030634
7,85.8251,0.52119,2.62667,0.93166,0.00333,1,0.93405,0.55564,0.17781,2.84373,0.5312,0.00105744,0.00035248,0.00105744,0.00035248,0.00105744,0.00035248,0.00105744,0.00035248
8,96.6902,0.66832,2.64939,1.17391,0.00333,1,0.96001,0.55427,0.155,2.84046,0.52603,0.00118873,0.000396244,0.00118873,0.000396244,0.00118873,0.000396244,0.00118873,0.000396244
9,107.51,0.47913,2.51607,1.0305,0.00333,1,0.82043,0.50352,0.13556,2.83418,0.51903,0.0013129,0.000437632,0.0013129,0.000437632,0.0013129,0.000437632,0.0013129,0.000437632
10,117.512,0.50979,2.60395,1.0443,0.00333,1,0.79879,0.62672,0.13151,2.82216,0.51351,0.00142993,0.000476644,0.00142993,0.000476644,0.00142993,0.000476644,0.00142993,0.000476644
11,128.612,0.40376,2.49982,0.96988,0.00333,1,0.9804,0.95888,0.11347,2.8008,0.50364,0.00153984,0.00051328,0.00153984,0.00051328,0.00153984,0.00051328,0.00153984,0.00051328
12,139.007,0.59049,2.24842,1.0157,0.00333,1,0.995,0.995,0.10693,2.79387,0.50034,0.00164262,0.00054754,0.00164262,0.00054754,0.00164262,0.00054754,0.00164262,0.00054754
13,149.629,0.34908,2.17146,0.90615,0.00333,1,0.995,0.995,0.08573,2.7481,0.49188,0.00173827,0.000579424,0.00173827,0.000579424,0.00173827,0.000579424,0.00173827,0.000579424
14,160.47,0.28075,2.06658,0.90402,0.00333,1,0.995,0.995,0.0753,2.7223,0.48846,0.0018268,0.000608932,0.0018268,0.000608932,0.0018268,0.000608932,0.0018268,0.000608932
15,171.439,0.56765,1.98995,1.06371,0.00333,1,0.995,0.995,0.06017,2.67263,0.48253,0.00190819,0.000636064,0.00190819,0.000636064,0.00190819,0.000636064,0.00190819,0.000636064
