epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0768,0.58679,0.74997,1.79384,0.93069,0,0.98463,0.91532,0.98135,0.86734,0.98463,0.91532,0.98135,0.93403,0.49243,0.39803,2.32216,0.87277,0,0.000648148,0.000648148,0.000648148
2,23.8285,0.65078,0.60996,1.39756,0.91987,0,0.91989,0.95,0.97426,0.80404,0.91989,0.95,0.97426,0.90899,0.64294,0.47219,1.71388,0.9882,0,0.00128878,0.00128878,0.00128878
3,33.6575,0.71421,0.52995,1.27955,0.94624,0,0.80713,0.9,0.9036,0.48535,0.81894,0.90463,0.9071,0.66224,1.0254,0.60128,4.85277,1.29584,0,0.00190301,0.00190301,0.00190301
4,43.6103,0.7118,0.47982,1.26743,0.97019,0,0.90651,0.80714,0.91416,0.76394,0.90651,0.80714,0.91416,0.88587,0.61611,0.44676,2.16981,0.95197,0,0.0018812,0.0018812,0.0018812
5,53.6225,0.71391,0.51086,1.31674,0.95967,0,0.96534,0.92857,0.97815,0.84693,0.96534,0.92857,0.97815,0.96211,0.58663,0.30262,1.58505,0.92141,0,0.0018416,0.0018416,0.0018416
6,63.588,0.69823,0.43195,1.21604,0.96913,0,0.89123,0.99286,0.96484,0.83533,0.89123,0.99286,0.96484,0.91415,0.56506,0.40666,1.38039,0.88403,0,0.001802,0.001802,0.001802
7,73.4968,0.65541,0.36528,1.09843,0.94447,0,0.98573,1,0.99371,0.87629,0.98573,1,0.99371,0.97072,0.49852,0.34982,1.07361,0.85332,0,0.0017624,0.0017624,0.0017624
8,83.4044,0.62381,0.44381,0.95632,0.92709,0,0.9641,1,0.98645,0.87847,0.96855,1,0.98646,0.97452,0.49737,0.28765,1.07417,0.84589,0,0.0017228,0.0017228,0.0017228
9,93.1833,0.59768,0.39766,0.95253,0.91209,0,0.98511,1,0.98817,0.88368,0.98511,1,0.98817,0.97153,0.4783,0.27361,1.05846,0.84371,0,0.0016832,0.0016832,0.0016832
10,103.011,0.58709,0.41738,0.91396,0.90222,0,0.98548,1,0.98843,0.8827,0.98548,1,0.98843,0.9814,0.47425,0.27503,0.90739,0.85034,0,0.0016436,0.0016436,0.0016436
